comment,date,rating
"es terrible comprar por el app, primero que no me deja ser socio porque siempre me aparece un error y tenía los códigos de yape los cuales no pude usar si no eres socio ya que si los pones te obliga a tener una cuenta, al final solo pude comprar al precio normal por los errores que aparecen al querer ser socio",26/10/2024,1
"la app es buena y rápida, con súper descuentos en combos y entradas, es muy accesible para realizar las compras de tus entradas, espero que sigan mejorando gracias Cineplanet",24/11/2024,5
"Una bodrio su app, a cada rato se cuelga, no me deja comprar, ni con tarjeta ni por yape, no acepta las compras, por más que actualice, que borre e instale de nuevo.",26/11/2024,1
cuando salgo de la app para copiar El otro código toda la selección se pierde. igual con otros tipos de compra. la información debería guardarse para no iniciar todo de nuevo,15/12/2024,2
"Alguien sabe si Cineplanet es del Estado???? Es muy mala su aplicación, cuando termino de pagar me dice que algo sucedio y me fije a mis compras pero nunca hay nada y me regresa al inicio.",23/11/2024,1
"Por razones de seguridad la aplicación no puede ejecutarse en este dispositivo. Para seguir usando la app, usa un equipo sin modificaciones. Y yo no modifique nada en mi equipo es un Honor x8. NO ENTIENDO,SI ANTES ME FUNCIONABA PERFECTO, UNO QUIERE IR AL CINE PERO LA APP NO DEJA. PÉSIMO SERVICIO.NO SE QUE HICIERON CON LA APP. Y ERA UNO DE MIS CINES FAVORITOS,ASI QUE O ARREGLAN EL PROBLEMA O ME VOY A CINEMARK.",5/02/2025,1
"Que pésimo, tengo un motog6, y me pide actualizar la aplicación y luego cuando entro actualizar me responde que mi equipo no es compatible con la aplicación, el detalle es que no tengo ningún problema con otras aplicaciones que son de mi gusto e interés, osea que tengo que comprar otro equipo para instalar tan solo la de Cineplanet. Desastroso, que piensen mejor sus genios.",28/09/2024,1
"Todo bien pero si quieres sacar una entrada extra , no te deja apesar que uno sea socio.",25/12/2024,1
"Me gusta el funcionamiento y ayuda a comprar a distancia y las colas, lo malo es que debería tener mas tiempo para subir como socio por que no todos podemos ir consecutivamente al cine, pero sin embargo nos gusta.",15/01/2025,5
"Me gusta pero falta que agreguen al Director. En todas las películas aparece ""Null"". ¿Para qué agregan esa sección si no agregarán el nombre del director? Además, en Próximos Estrenos por favor agreguen la fecha en que estrenará la película. Otras aplicaciones de otros cines sí te indican qué día se estrenará.",20/02/2025,3
"Para qué le ponen rango de edad a las películas, si de igual manera en salas donde por ejemplo transmiten películas para +14 entran menores de esa edad, y no hacen respetar sus propios límites de edad.",17/12/2024,2
"Si entré a Cineplanet es porque Alcázar es la sala más cercana donde pasan Yana-Wara en el horario que puedo ir a verla. Pero la página y la aplicación demoran muchísimo en cargar, creo q más rápido es ir a hacer la cola y pagar de manera presencial como antiguamente se hacía 🙄. Les pongo 1 estrella porque han pasado 10 minutos y no siquiera no puedo ver las películas q se proyectan en esa sala. Cinemark corazón 🫶🏻",13/04/2024,1
"Al inicio todo bien y luego de un tiempo, la aplicación me indica que ya no es compatible con mi dispositivo, tengo un dispositivo android desde hace mucho tiempo y nunca he tenido problemas con ninguna aplicación, y para descargar la aplicación nuevamente ya no me permite.",5/10/2024,3
"Es buena casi siempre, el problema es cuando hacen promociones y la aplicación no funciona de forma correcta y para acceder comprar tus entradas y tu combo de canchita y gaseosa se leentea, se cierra o no acepta tu pago y te vuelve desde el principio y quieres volver a escoger tus asientos ya no se puede ... eso es lo que sucede con la aplicación por eso no le puedo poner 5 estrellas",27/09/2024,3
"Yo le doy tres estrellas, ya que me sirvió mucho para ver que películas estaban lanzadas, para ver películas en el cine, osea comprar entradas. Esta App me sirvió mucho, pero de la noche a la mañana dijo que ya no estaba disponible en mi celular, pero antes de eso si funcionaba, y funcionaba muy bien, no se que habrá pasado pero bueno.",27/11/2024,5
"Horrible, de la forma más objetiva posible 1/7 veces logro comprar un boleto, porque la mayoría de veces se queda cargando y pasa los 5 minutos de límite y cuando voy a volver a comprar los asientos están ocupados porque el sistema aún no los libera y debo esperar 30 minutos y rezar que no pase el problema denuevo",2/11/2024,1
fue rápido y sin necesidad de estar saliendo de casa o hacer cola para las entradas,8/01/2025,5
La aplicación no es compatible con todos los dispositivos.,3/03/2025,1
Me facilita las entradas rápido fácil sencillo muy buena herramienta para comprar sin hacer cola,25/12/2024,5
"LA APP NO FUNCIONA CORRECTAMENTE. El error más común es que cuando cambio de ventana me aparece: ""Ha ocurrido un error inesperado. REINICIAR"". He querido realizar compras con tarjeta de débito Interbank y no se podía, me llegaba un correo diciéndome que mi transacción fue rechazada (tengo habilitada la opción para hacer comprar por internet). Los términos y condiciones de las promociones no pueden ser descargados y leídos desde la app.",12/10/2019,2
"buenas tardes Sr. Cineplanet, estoy intentando comprar entradas x su aplicación para la película de rápidos y furiosos y simplemente no me deja, automáticamente te bota de la aplicación cuando eliges comprar, no es la primera vez que sucede esto cuando se trata de películas que van a tener un gran impacto y su aplicación simplemente no soporta el gran número de usuarios, es incomodo comprar x la web y presencial no todos disponemos del tiempo, x algo tienen una app y esta fallando. Solución.",3/08/2019,2
Esta página no deja seleccionar los asientos y sale error inesperado,27/12/2024,1
es incómodo que a cada rato se tenga que actualizar,2/02/2025,2
"Le doy solo dos estrellas, ya que hace días he estado tratando de comprar entradas y/o ver la cartelera y se demora mucho tiempo y peor aún no he podido comprar ni una sola entrada, espere una y otra vez y pensé que quizás por fin de semana la página estaba lenta, pero siendo incluso hoy que quise ir al cine y querer aprovechar en tiempo para solo pasar a ver la película no he podido ni comprar un combo ni mucho menos una entrada y es terrible de que sirve que tenga la app si no me va a servir",12/12/2019,2
me parece bastante intuitivo la interfaz,31/01/2025,5
la compra con el app es muy fácil y rápida.,31/12/2024,5
Si compro entradas el mismo día para diferentes películas debería contar como visitas pero sólo te cuenta 1 por día eso es un robo,28/12/2024,1
"Las películas de terror deben poder verse en las tardes , en las noches no se puede ir al cine ....solucionen eso",13/03/2025,1
"Esta aplicación a veces se convierte en una verdadera m###da...como es posible que tengan como aliado de pagos a Payu. Esa pasarela de pagos es de las peores y les hace perder mucho dinero... constantemente me ha rechazado mucho pagos y sinceramente es muy frustrante tener que lidiar con los mensaje de ""tuvimos un problema..."" Y el tipico correo de payu indicando""transacción rechazada""",20/08/2022,1
"Es muy buena la aplicación pero sería mucho mejor q también se podría hacer los pagos por yape para q nos sea más fácil la forma de pago. Por q no todas las personas tenemos cuentas de bancos y cuando queremos comprar las entradas por la misma aplicación no podemos por q es con tarjeta, por eso digo q implementen los pagos por yape.",19/03/2024,2
"Me parece demasiado pésimo que tenga que entrar a cada película en cartelera para poder ver los horarios, cuando tenía la facilidad de verlos todos en su app anterior que funcionaba perfectamente, encima se cuelga y se cierra a cada momento, regresen la app anterior por favor, que tontería. Editado: Mucho mejor ahora ya se puede ver",28/06/2019,4
"una forma más fácil de comprar entradas para el cine, así me evito las filas :3",4/01/2025,5
"Estimados de Cineplanet, hace varios días tengo problemas para realizar compras por el App y la página web, deberían solucionar ese problema. Ahora me están obligando a pagar con AGORA y no estoy de acuerdo. Antes era tan fácil hacer la compra y ahora nos complican. Por favor una solución a la brevedad porque son varios usuarios que tienen el mismo inconveniente.",23/04/2022,1
es muy fácil de canjear o de comprar las mejores pelis del mundo,9/02/2025,5
"Útil para evitar colas innecesarias, ya sea para comprar entradas o snack. Mi pareja y yo usamos una sola tarjeta sociocineplanet para ganar puntos y si la olvido cuando compro en ventanilla, no me permiten acumularlos, en cambio online no importa quién de los dos compre las entradas, los puntos se cargan a la misma cuenta. Así obtengo entradas a mejor costo. Lo único malo es que a veces se ha puesto lenta la carga por alguna actualización de la App.",20/11/2019,3
"Su aplicación es pésima. No se pueden comprar entradas porque simplemente se cae. Es extremadamente lenta. En muchas ocasiones se ha caído antes de poder concretar la compra y nunca libera los asientos, lo peor es que cuando se cae, tardan demasiado en recuperar su sistema. Es increíble que una aplicación bajo el patrocinio de una empresa top, sea tan mala y que haya pasado tanto tiempo y no sean capaces de solucionar sus múltiples problemas. La peor aplicación de lejos.",19/01/2020,1
La aplicación funciona cada vez peor. No puedo comprar absolutamente nada con ningún medio de pago por ratos. Hace falta una buena actualización que corrija todos esos errores,15/03/2025,1
hasta ahora no puedo ingresar como socio después de varias veces reclamar a atención al cliente,3/01/2025,2
"A mi me gusta ir al cineplanet desde siempre y el hecho que tenga una aplicación deberia facilitar la experiencia del usuario, pero en mi opinión esta aplicación lo unico que hace es darme un gran dolor de cabeza. Hasta el momento tengo problemas ya que muchas veces se cuelga la aplicación, varias veces me ha pasado que quiero comprar y cuando escojo mi butaca en algun momento se cuelga, me sale error y cuando quiero escoger de nuevo los asientos ya no se pueden. Por otro lado también me paso que cuando compre mi entrada se quedó cargando la aplicación y nunca me aparecio el final del proceso pero si me hicieron el recargo de la compra. Pero lo que mas me fastidia es que intento agregar una tarjeta de credito o debito y cuando pongo agregar la aplicacion me bota error y me pide reiniciar... Lo mismo pasa cuando intento ver mis compras... En serio esta aplicación es un completo desastre... DESASTRE!!!",10/11/2018,1
buenisimo pero bajen los costos de las entradas,8/01/2025,5
Muy rápido el servicio y práctico.,16/01/2025,4
"Cuando quiere funciona bien, pero casi siempre hay fallas, no se puede comprar, no están completos los trailer, es frustrante. En 2018 opiné algo similar: Mala, la versión anterior era muy funcional, esta nueva es pésima, todo falla. Mejórenla, o cámbienla.",4/02/2023,2
El app deja mucho que desear. Siempre hay problemas con el login y las compras. Pésimo!,26/10/2024,1
Por que demonios la app no acepta mis compras? Probé tanto con mi tarjeta como con la de otra persona y me aparece que verifique si esta en compras. Estoy aburrido de que siempre pase lo mismo.,17/11/2024,1
"En las últimas semanas no permite realizar compras por la aplicación, a la hora del pagó sale un mensaje ""algo sucedió "" y se cancela la operación.",7/11/2024,3
"he tenido que ver cómo poder comprar, si ponía la cantidad de entradas y luego canjeaba mis códigos me decía que era incorrecto el número de butacas elegidas",4/10/2024,3
"Muy buena, rápida y práctica",12/03/2025,5
"le daría -5 estrellas! hice compras por esta aplicación y me decía error, asi que volvía a intentar porque ya iba a terminar la hora para poder comprar. de varias veces intentando pude comprar dos entradas y el combo lo compré por la ventanilla. cuando me doy cuenta que varias personas se acercan al mostrador a reclamar! todos los intentos se habían facturado en la tarjeta! en el cine me lograron devolver dos compras pero aun quedan otras dos que no me han devuelto y tampoco se responsabilizan!!!",29/06/2019,1
De nuevo los problemas de compras a traves de su app,27/02/2025,2
con biométrico sería más cómodo,8/03/2025,4
Siempre todo correcto con la compra de entradas virtual. Ningún problema al pagar con tarjeta.,7/11/2024,5
"El app es una porquería esa es la palabra nadie se preocupa en arreglarlo hasta ahora no alguien responsable que este atento a los reclamos, no hay un teléfono de llamada tampoco y no funciona los mensajes para reclamos nada sirve, hasta cuando CINEPLANET? Hasta Cuando?",11/11/2024,1
super facil y rápido,2/03/2025,5
Me agrada el cine...y siempre estoy buscando la manera de ir a los estrenos ...y ver la cartelera al día me hace elegir opciones de horario,5/11/2024,2
"excelente, muy buena atención y buenas películas. sólo me encantaría que daría ofertas para los que visitan más consecutivos como yo.",2/11/2024,5
no sé puede comprar cuando ingreso con mi cuenta de usuario. solo como invitado. me parece una estafa ya que dicen que se puede utilizar los códigos promocionales.,29/11/2024,1
"Todo OK hasta 2 actualizaciones atrás q se eliminaron mis cines favoritos y no se mostraban a todas las películas que se presentaban en dicho cine y desde la última actualización, cuando trato de ver las películas de un determinado cine me muestra el mensaje: ""Ha ocurrido un error inesperado"" , con el botón reiniciar y ya nunca se pueden ver las películas que se exponen en un determinado cine. Usuario android v9 de Huawei Mate 20 lite y Emui 9.1. 0.282. Ojalá arreglen este bodrio",6/03/2020,2
"Hace un año comenté que el app e malaza.... Sigue siéndolo... La experiencia no es buena... Cuando quiero comprar alguna película de estreno o no se cae rápidamente porque luego de elegir asientos, me envía a confitería y mientras elijo continuar mi compra, al momento de pagar los asientos seleccionados ya fueron elegidos por otros. Deberían reservar los asientos mientras seguimos comprando otras cosas así como lo hace Fandango. En este momento quiero comprar y el app está en blanco. Una pena!",4/01/2020,1
"No deja pagar con tarjetas de crédito y débito de Interbank, da error de ""tarjeta inválida"" a pesar que los datos y la tarjeta están bien, por lo tanto no se pueden aprovechar las ofertas de Interbank. Lo mínimo que debería hacer Cineplanet es dar un vale o algo así que compense a los usuarios por la imposibilidad de aprovechar las ofertas",8/11/2019,1
"Ok, ya se arreglo de los cines favoritos y ya puedo comprar. No sé si todavía siguen arreglando ese problema. Pero ya no aparece la promoción por mi cumpleaños, donde me decia que podía canjearlo hasta antes que acabe el año(tengo una captura dede pantalla de ello) Y tampoco tengo los puntos que había acumulado por las veces que habia ido al cine.... Espero que aun esten solucionando esos problemas.",7/03/2020,1
"Ya va mucho tiempo que viene fallando el app en mi galaxy s8. Desde que hubo la actualizacion para esta nueva app, ya que la antigua si me funcionaba bien. Pero ahora no me cargan algunas imagenez de los cines en cartelera y en otras se me reinicia la aplicacion al volver al menu principal. Espero lo arreglen para una nueva version.",10/08/2019,1
"después de tiempo vuelvo a utilizar la app y solo hoy la he descargado nuevamente y es una porquería, quiero revisar la cartelera y simplemente se cierra la aplicación, solo se ve el inicio, quieres darle click y adios aplicación. asi pierdes clientes CINEPLANET. se supone que uno compra por internet porque es mas rápido, fácil y te evitas la cola. realmente necesitan revisar la aplicación.",23/06/2019,1
"El colmo la app no funciona como debiera... Se elige el asiento, el combo y todo y cuando vas a pagar para seleccionar otra tarjeta sale mensaje que no ha sido procesado por lo que se debe cancelar, cuando vas a elegir nuevamente los asientos que ya habias elegido siguen seleccionados y hay que elegir nuevos para que nuevamente al tratar de hacer otro pago salga el mismo mensaje y no permita terminar el proceso... Terrible el ""canal de mejor atención"". Muy a parte de eso no me deja actualizar mi perfil, desde que cambiaron la app intento actualizar mis datos y siempre regresa a otra localidad, otra ciudad.",29/10/2018,1
"buena la app, siempre me es fácil comprar las entradas. Sólo un par de cosas q no me agradan. Primero q si me salgo a media compra y ya estaban los sitios escogidos estos se bloquean y segundo que los productos que se ofrecen en dulceria son los mismos hace mucho, sinceramente dejo de comprar por q me cae mal la canchita y el hot digo tampoco es muy de mi agrado. Sería bueno renovar esa carta.",1/09/2023,4
Existe un problema que cuando se escoge primero la película y luego el cine no se logra apreciar los puntos socio Cineplanet para canjear. En cambio cuando se escoge primero el cine y luego la película ahí recién se ven los puntos que uno tiene para canjear. Favor de corregir ese error.,6/12/2019,3
Porqueria de aplicacion!!!! una crea la cuenta entra a su cuenta paga con sus tarjetas rexhazan la transaccion y lugo bloquean tu cuenta...resulta q si vas a boleteria te hacen pagar el precio total de la entrada y no la q te ofrece la app con tus puntos...uno twrmina ya no pagando la entrada de 2x25 gracias a tus puntos sino q cada entrada a 25...llamar a telefono es perder 18 min esperando q contesten para decir q la bloquearon x seguridad...DE LO PEOR,13/04/2019,1
"No puedo comprar entradas desde hace un mes, y es molesto ir hacer cola. Cada vez que quiero comprar aparece, que algo sucedió que revise si he iniciado sesión, que revise el correo, reviso y me dice tu transacción a sido rechazada. Asco de aplicación (desinstalo la app vuelvo a instalar e iniciar sesión y sigue igual ). No recomiendo",17/07/2022,1
"Un fiasco total, disfruto del servicio en Cineplanet, pero de su plataforma app es un fiasco, no presenta las películas correctamente y horarios incorrectos, que tan difícil es tener una buena plataforma, hasta Fandango presenta mejor los horarios de Cineplanet que ellos mismos..",17/11/2018,1
"deberían de ver estrictamente la funcionalidad de la app, suele pasar que sale un aviso de error al momento de hacer una compra, lamentablemente la compra se efectúa posteriormente sin opción a reembolso y si esta saturado de usuarios la app realiza comprar sin el consentimiento de un mismo. me gustaba mucho la app pero despues de esa mala experiencia prefiero ya no usarla.",12/06/2019,1
"Malisimo el sistema de compra. Tuve que probar con varias de mis tarjetas de debito y siempre salia un mensaje de ""Posiblemente está Logeado y si le llega un mensaje etc etc"" y quede con la duda de que si te cobraron. Finalmente intente con TC y con suerte salio que fue compra exitosa. Pero me quede con la duda si me cobraron. Malisimo sistema. Espero mejoren porque antes de la pandemia era mucho mas fácil.",9/04/2022,2
"La compra de dulcería respecto a los beneficios es muy limitada, por ejemplo, no puedes comprar todas las gamas de combos oros (dúos y tríos con cancha dulces y salados). Antes se podía. Por favor, corregir eso. ""Por lo demás, cineplanet es un buen cine"".",19/02/2020,1
"Un fiasco de aplicación. Generé mi usuario por este medio y cuando voy a ingresar, me indica que el usuario no existe. Vuelvo a la opción de crear cuenta... Y nobme deja porque dice que el usuario ya existe. Total? Se contradice! Y encima llamo al ineficaz aló Cineplanet y todo el dia musica y música, jamás atienden. Terrible, Cineplanet.",11/10/2019,1
"Ya llevo un mes sin ver las imágenes de las películas que ofrecen. Mejoren el App, sería bueno ver la películas que están en cartelera con horarios, formatos y si son subtituladas desde el princio luego escoger el cine. Aveces para encontrar una película en el horario y/o preferencia debo entrar a cada complejo y es tedioso.",1/05/2019,4
"App elaborado por programadores que no van a un cine,uno quiere ver primero en su Cine elegido que películas dan su horario y sus precios, luego las películas que están en cartelera. Tan difícil es realizar una app amigable..",3/10/2018,1
"Una verdadera basura, no tiene ningún uso que darle, quiero comprar entradas, busco en mi ciudad, me aparece las películas, escojo una, entro a comprar y me sale que no hay resultados entre los filtros... Verdaderamente, una porquería inservible. Eliminar de mi celular.",30/04/2019,1
"La app no carga, se queda congelada, problemas con el pago de tarjetas, por enumerar algunos de los problemas. Entre actualización & actualización, en vez de mejorar va peor. Malísimo. No queda otra que comprar desde la web. Sigo sin entender como una app que iba tan bien, terminó por un salto al vacio. De verdad, espero mejoren.",24/10/2019,1
"Bueno, al parecer ha mejorado con la actualización. Felizmente, ya no se cae al abrir otra aplicación y volver. Lo q si he notado es que en ocasiones demora en conectarse, aunque eso podría ser por mi celular o la red del operador. Aceptable el app para mi. Saludos.",30/11/2019,3
